"Source" "Statistic" "df1" "df2" "Test.Comparison" "Value" "Reported.Comparison" "Reported.P.Value" "Computed" "Raw" "Error" "DecisionError" "OneTail" "OneTailedInTxt" "APAfactor" "folder"
"Tolan2013" "t" NA 5 "<" 1 "ns" NA 0.363217467649123 "t (5) < 1, ns" FALSE FALSE FALSE TRUE 0.21 "campbell"
"Tolan2013" "t" NA 4 "<" 1 "ns" NA 0.373900966300059 "t (4) < 1, ns" FALSE FALSE FALSE TRUE 0.21 "campbell"
"Tolan2013" "t" NA 23 "=" 1.65 "=" 0.11 0.112534772750495 "t (23) = 1.65, p = .11" FALSE FALSE FALSE TRUE 0.21 "campbell"
"Tolan2013" "Chi2" 5 NA "=" 11.05 "<" 0.05 0.0503975937499337 " 2 (5, n=36) = 11.05, p < .05" TRUE TRUE TRUE TRUE 0.21 "campbell"
"Vaessen2014" "Z" NA NA "=" 2.68 "<" 0.007 0.00736221601834996 "Z= 2.68, p< .007" TRUE FALSE FALSE FALSE 0.09 "campbell"
"Vaessen2014" "Z" NA NA "=" 2.37 "=" 0.018 0.0177880852606736 "Z= 2.37, p = 0.018" FALSE FALSE FALSE FALSE 0.09 "campbell"
"Vaessen2014" "Z" NA NA "=" 0.36 "=" 0.721 0.718847133564018 "Z= 0.36, p = 0.721" FALSE FALSE FALSE FALSE 0.09 "campbell"
"Dickson-2012-Meta-analyses of cognitive and mo" "Z" NA NA "=" 7.51 "<" 0.001 5.91273631075179e-14 "Z= 7.51, p<0.001" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Dickson-2012-Meta-analyses of cognitive and mo" "Z" NA NA "=" 8.03 "<" 0.001 9.74726659627265e-16 "Z= 8.03, p<0.001" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Dickson-2012-Meta-analyses of cognitive and mo" "Z" NA NA "=" 1.74 "=" 0.08 0.0818590179576147 "Z= 1.74, p= 0.08" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Dickson-2012-Meta-analyses of cognitive and mo" "Z" NA NA "=" 1.4 "=" 0.16 0.161513318467542 "Z= 1.40, p= 0.16" FALSE FALSE FALSE FALSE 0.33 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Q" NA 45 "=" 303.68 "<" 0.001 4.41783931531073e-40 "Q(45) = 303.68, P < 0.001" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Qb" NA 1 "=" 9.76 "=" 0.002 0.0017834991050137 "Qbetween(1) = 9.76, P = 0.002" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Q" NA 22 "=" 226.23 "<" 0.001 7.76277754751515e-36 "Q(22) = 226.23, P < 0.001" FALSE FALSE FALSE FALSE 0.61 "IQ"
"Duckworth-2011-Role of test motivation in inte" "Q" NA 22 "=" 24.37 "=" 0.33 0.328137927637646 "Q(22) = 24.37, P = 0.33" FALSE FALSE FALSE FALSE 0.61 "IQ"
